indice,Especialidad
0,Acupuntor
1,Alergólogo
2,Anatomopatólogo
3,Anestesiólogo
4,Angiólogo
5,Audiólogo
6,Cardiólogo
7,Cardiólogo pediátrico
8,Cirujano cardiovascular y torácico
9,Cirujano de la mano
10,Cirujano estético y cosmético
11,Cirujano general
12,Cirujano maxilofacial
13,Cirujano oncólogo
14,Cirujano pediátrico
15,Cirujano plástico
16,Dermatólogo
17,Dermatólogo pediátrico
18,Diabetólogo
19,Endocrinólogo
20,Endocrinólogo pediátrico
21,Endoscopista
22,Enfermero
23,Fisioterapeuta
24,Gastroenterólogo
25,Gastroenterólogo pediátrico
26,Genetista
27,Geriatra
28,Ginecólogo oncológico
29,Ginecólogo
30,Hematólogo
31,Hematólogo pediatra
32,Homeópata
33,Infectólogo
34,Infectólogo pediatra
35,Inmunólogo
36,Analista clínico
37,Logopeda
38,Terapeuta complementario
39,Especialista en Medicina Crítica y Terapia Intensiva
40,Especialista en Medicina del Deporte
41,Especialista en Medicina del Trabajo
42,Médico estético
43,Médico de familia
44,Médico general
45,Especialista en Medicina Integrada
46,Internista
47,Especialista en Medicina Nuclear
48,Especialista en Medicina Preventiva
49,Naturista
50,Nefrólogo
51,Nefrólogo pediatra
52,Neonatólogo
53,Neumólogo
54,Neumólogo pediatra
55,Neurocirujano
56,Neurofisiólogo
57,Neurólogo
58,Neurólogo pediatra
59,Nutricionista
60,Nutriólogo clínico
61,Especialista en Obesidad y Delgadez
62,Dentista - Odontólogo
63,Oftalmólogo
64,Oftalmólogo pediátrico
65,Oncólogo médico
66,Oncólogo pediátrico
67,Optometrista
68,Ortopedista
69,Ortopedista infantil
70,Otorrinolaringólogo
71,Patólogo clínico
72,Pediatra
73,Podiatra
74,Podólogo
75,Proctólogo
76,Psicoanalista
77,Psicólogo
78,Psicopedagogo
79,Psiquiatra
80,Psiquiatra infantil
81,Quiropráctico
82,Radiólogo
83,Radioterapeuta
84,Especialista en Rehabilitación y Medicina Física
85,Especialista en Retina Médica y Quirúrgica
86,Reumatólogo
87,Sexólogo
88,Algólogo
89,Terapeuta ocupacional
90,Traumatólogo
91,Urgenciólogo
92,Urólogo
93,Reumatólogo pediátrico
94,Cirujano cardiovascular y torácico pediátrico
95,Urólogo pediátrico
96,Cirujano cardiovascular
97,Cirujano torácico
98,Radio Oncólogo
99,Epidemiólogo
100,Odontólogo pediatra
101,Cirujano bariatra
102,Foniatra
103,Otorrinolaringólogo Pediátrico
104,Sin Especialidad
105,Cirujano vascular
106,Especialidad en Medicina del Enfermo Pediátrico en Estado Crítico
107,Patólogo Bucal
108,gerontologo
109,Técnico en diagnóstico e imagen
110,Ortodoncista
